Pflanze;Pflanzenfamilie;"günstige Partner";"ungünstige Partner";Vorkultur / Nachkultur;"1. Aussaattiefe in cm /2. Keimtemperatur(optimal/minimum) in °C /3. Keimdauer in Tagen /4. Keimfähigkeit der Samen in Jahren";Bemerkungen
Angelika (Angelica archangelica);;Petersilie;Sellerie;;- / - / - / -;
Amarant (…….);Fuchsschwanzgewächse;;;;- / - / - / >6;Mittelzehrer
Ampfer (Rumex sp.);;;;;- / - / - / 2-3;
Andenbeere, Kapstachelbeere, Physalis (Physalis peruviana);Nachtschattengewächse;Aubergine;;;0,5 / (22-25/16) / - / >6;Bodengare fördernd
Anis (Pimpinella anisum);Doldenblütengewächse;Brokkoli, Grünkohl, Kohlrabi, Kopfkohl, Koriander, Rosenkohl;;;0,5 / (15-25/4) / - / -;Bodengare belastend
Angelika (…);Doldenblütengewächse;;;;;Bodengare belastend
Apfel (Malus domestica);Rosengewächse;Beifuß, Brombeeren, Fingerhut, Gartenkresse, Johannisbeere n, Pfefferminze, Schnittlauch;Möhren, Kartoffeln;;;"Bodenbearbeitung vermeiden, da Flachwurzler"
Aprikosen (Prunus armeniaca);Rosengewächse;Gartenkresse;Eberraute, Kartoffeln, Tomaten;;;
Artischocke (Cynara scolymus);Korbblütengewächse;Fenchel, Gurken, Kopfsalate, Kartoffeln, Knoblauch, Schnittlauch;Sellerie, Petersilie;;5 / (18-25/8) / 8-12 / 4-5;Tiefwurzler
"Asia-Salate (Brassica-Arten)";Kreuzblütengewächse;Feldsalat, Gartenmelde, Neuseeländer Spinat, Portulak, Salate, Spinat, Zwiebeln;Brokkoli, Chinakohl, Grünkohl, Kohlrabi, Kopfkohl, Pak Choi, Radieschen, Rettiche, Rosenkohl, Senf;;;Mittel- Schwachzehrer, Flachwurzler, Bodengare fördernd
"Aubergine, Melanzani, Eierfrucht (Solanum melongena)";Nachtschattengewächse;Andenbeere, Eiskraut, Erbsen, Estragon, Gartenbohnen, Kartoffeln, Neuseeländer Spinat, Sommerportula k, Thymian;Knoblauch, Paprikas, Tomaten, Zwiebeln;"Salate (frühe
Sorten), Spinat/ Gründüngung, Senf";0,5 / (25-28/12,1) / 6-8 / >6;Starkzehrer, Mittelwurzler, Bodengare fördernd
Augenbohne, Kuherbse, Spaghettiebohne, Spargelbohne;;(Vigna unguiculata ssp.);;;- / - / - / 4-5;Mittelwurzler
Baldrian;Baldriangewächse;;;;- / (15-25/6) / - / -;Lichtkeimer
Barbarakresse, Barbarakraut, Winterkresse (Barbarea vulgaris);Kreuzblütengewächse;Erdbeeren, Feldsalate, Gartenmelde, Mangold, Spinat;Brokkoli, Chinakohl, Grünkohl, Kohlrabi, Kopfkohl, Pak Choi, Radieschen, Rettiche, Rosenkohl;;- / (12-22/3) / 2 / 2-3;Lichtkeimer
Basilikum (Ocimum basilicum);Lippenblütengewächse;Aprikosen, Fenchel, Gurken, Lilien, Ringelblumen, Spargel, Tomaten, Wein;Knollenziest, Salbei, Thymian, Weinraute, Wermut, Zitronenmeliss e;;- / (20-25/-) / 12-15 / 4-5;Lichtkeimer, in Mischkultur mit Bohnenkraut gibt es widersprüchliche Informationen, schützt Tomate, Gurke und Kohl gegen Mehltau und weiße Fliege
Beifuß (…);Korbblütengewächse;;;;- / (16-25/12) / - / -;Lichtkeimer
Beinwell (Symphytum officinale);Raublattgewächse;Kartoffeln, Tomaten;;;;
Bergbohnenkraut (…);;;;;- / (20-25/10) / - / -;Lichtkeimer, schützt Bohnen gegen schwarze Bohnenlaus, Duftstoffe fördern Wachstum und Aroma der Bohnen
Birnen (Pyrus communis);Rosengewächse;Gurken, Knoblauch, Löwenzahn, Möhren, Pfefferminze, Spinat, Zuckermais;;;;Löwenzahn auf die Baumscheibe gepflanzt, fördert die Gesundheit
Blumenkohl, Karfiol (Brassica oleracea var. Botrytis);Kreuzblütengewächse;Dill, Eberraute, Gartenbohnen, Kartoffeln, Kümmel, Neuseeländer Spinat, Pfefferminze, Puffbohnen, Rosmarin, Salbei, Sellerie, Thymian, Wermut, Ysop;Brokkoli, Chinakohl, Erdbeeren, Grünkohl, Kopfkohl, Pak Choi, Rettiche, Rosenkohl, Rote Bete, Senf, Spinat, Tomaten;Spinat, Gemüse aus der Familie der Hülsenfrüchte, Gründüngung / Feldsalat;1 / (15/-) / 4-6 / >6;Starkzehrer, Mittelwurzler, in Mischkultur mit Kohlrabi gibt es widersprüchliche Informationen, Anbauphase von mindestens 3 Jahren einhalten (bei Auftritt von Krankheiten erst wieder nach 5-6 Jahren anbauen)
"Bohnen siehe Gartenbohnen";;;;;;
"Bohnenkraut (Satureja hortensis)";Lippenblütengewächse;Basilikum, Gartenbohnen, Zwiebeln;Rettiche;;0,5 / (10-15/-) / 14-21 / 2-3;schützt Bohnen gegen schwarze Bohnenlaus, Duftstoffe fördern Wachstum und Aroma der Bohnen
Borretsch (Borago officinalis);Raublattgewächse;Erdbeeren, Gurken, Kürbisse, Puffbohnen, Sellerie, Tomaten, Zucchini;;;2 / (20-25/8) / - / 2-3;lockt viele Insekten in den Garten, die dann andere wichtige Nutzpflanzen bestäuben
Brennessel (…);;;;;- / (10-20/2) / - / -;Lichtkeimer, unter Obstbäumen und Sträuchern gegen Blattläuse, fördert die allgemeine Gesundung
Brokkoli (Brassica oleracea var. Italica);Kreuzblütengewächse;Dill, Eberraute, Endivien, Kamille, Kartoffeln, Kümmel, Oregano, Pfefferminze, Rosmarin, Salate, Schnittlauch, Sellerie, Thymian, Wermut, Ysop;"Brokkoli, Chinakohl, Erdbeeren, Gartenbohnen, Grünkohl, Möhren,
Kopfkohl, Pak Choi, Radieschen, Rettiche, Rosenkohl, Senf, Spinat, Tomaten";;1 / (15/-) / 4-12 / >6;Starkzehrer, Mittelwurzler, in Mischkultur mit Kohlrabi gibt es widersprüchliche Informationen
Brombeeren (Rubus fruticosus);Rosengewächse;Äpfel;;;;
Brunnenkresse (Nasturtium officinale);;;;;0,2 / (10-15/6) / 2 / 4-5;Licht fördert die Keimung (nur leicht mit Erde bedecken)
